user_ID,first_name,last_name,courseTaken,courseTaken,courseTaken
1,BARBARA,YOUNG,2,5,8
2,EDWIN,RAYMOND,2,5,9
3,DARRELL,MARTIN,5,8,
4,VIVIAN,BROWN,2,5,
5,JAMES,ROBERTS,1,4,
6,ALLEN,BARNES,3,6,7
7,DEAN,FLOYD,4,3,9
8,CHARLES,FOSTER,,,
9,AMY,VASQUEZ,6,9,15
10,DONALD,TAYLOR,7,10,8
11,YVONNE,TAYLOR,3,,
12,RAYMOND,KIRKLAND,5,,
13,WILLIAM,GLASS,4,,
14,DEANNA,BRYANT,3,,
15,GERTRUDE,BROWNING,5,8,6
16,JANICE,WILLIAMS,5,9,13
17,RICK,JUAREZ,3,6,5
18,MARY,JAMES,2,5,10
19,KENNETH,DAVIS,2,5,4
20,APRIL,EVANS,3,10,5
21,JAMES,GORDON,2,5,9
22,ELIZABETH,ELLIS,2,5,3
23,RONALD,WILLIAMSON,6,9,8
24,NORMA,BLANKENSHIP,4,3,6
25,DAVID,BURKS,5,8,12
26,HARRY,JONES,3,6,5
27,ELIZABETH,WHITE,,,
28,ANNA,COX,2,5,13
29,FELICIA,JONES,4,3,4
30,JASON,CARPENTER,2,5,6
31,RAY,ZIMMERMAN,1,4,8
32,ANTHONY,TAYLOR,3,6,10
33,CASEY,CLARK,5,8,4
34,CLARA,BRADSHAW,3,10,8
35,ROBERTO,KEMP,2,5,9
36,FRED,ROBERSON,5,8,4
37,JEFFREY,CLARK,6,9,3
38,IRENE,WALKER,1,4,5
39,NINA,ANDERSON,4,3,7
40,TONY,WALKER,2,5,4
41,JOAN,OWENS,4,3,6
42,WILMA,ROBERTSON,1,4,5
43,CHARLES,BROOKS,3,6,4
44,BILLY,MCKINNEY,2,5,9
45,RALPH,TURNER,1,4,6
46,BESSIE,HERRERA,2,5,9
47,MARY,HAMILTON,3,6,7
48,ANNA,CLARK,6,9,4
49,JIM,GOMEZ,4,3,
50,TIM,GONZALEZ,1,4,
51,MARIA,TAYLOR,3,6,
52,RALPH,DAVIS,3,10,5
53,STEVEN,GARDNER,1,4,5
54,TRAVIS,TORRES,2,5,9
55,SHEILA,TAYLOR,2,5,4
56,JEFFREY,HALEY,2,5,12
57,FLORENCE,PATTERSON,,,
58,RICHARD,REEVES,2,5,8
59,ASHLEY,LE,3,6,8
60,JASON,HAMPTON,5,8,9
61,AMY,SCOTT,5,8,6
62,EDGAR,STUART,5,8,3
63,LILLIAN,HENSLEY,3,6,4
64,RICKY,GARDNER,4,3,7
65,JOHN,SMITH,3,6,4
66,MARY,ALEXANDER,4,3,6
67,JOE,RODRIGUEZ,1,4,3
68,JENNIFER,FREEMAN,3,6,5
69,ANNA,MENDEZ,4,3,10
70,MARY,GRAVES,2,5,6
71,TERRY,JIMENEZ,3,10,5
72,FREDERICK,WONG,3,6,
73,MELISSA,ROBINSON,2,5,6
74,MARY,WILSON,3,6,10
75,WILLIAM,SWEET,3,6,8
76,JOHN,LAWRENCE,3,10,9
77,DOROTHY,VELAZQUEZ,5,8,
78,JOSEPH,SMITH,6,9,
79,EILEEN,MCMAHON,3,6,
80,WANDA,WEEKS,4,3,
81,KATIE,BERGER,2,5,
82,WALLACE,REID,4,3,6
83,CATHERINE,FLEMING,1,4,10
84,IAN,WILCOX,3,6,10
85,CHRIS,ROGERS,3,10,6
86,JESUS,HUDSON,3,10,7
87,HARVEY,MILLER,3,6,
88,MICHAEL,TYSON,,,
89,LAURA,HUNT,3,6,5
90,GERALD,ANDERSON,3,10,6
91,ROBERT,RUSH,2,5,10
92,EDNA,SMITH,3,6,5
93,BENJAMIN,SCOTT,3,10,5
94,CONSTANCE,HICKS,2,5,4
95,REBECCA,DAVIS,2,5,6
96,TODD,CHAPMAN,1,4,3
97,BRETT,MORAN,3,6,
98,GAIL,CAMPBELL,4,3,5
99,JENNIFER,SIMMONS,3,6,5
100,RALPH,HARMON,2,5,6
101,PATRICK,WASHINGTON,2,5,7
102,JEFF,CUMMINGS,,,
103,KELLY,ANDERSON,,,
104,ARTHUR,MORSE,,,
105,RAUL,PEARSON,1,4,6
106,HEATHER,JONES,4,3,6
107,MARGARET,JONES,3,6,10
108,KEVIN,BOYD,,,
109,ANNE,SMITH,3,10,5
110,FERNANDO,GARDNER,4,3,7
111,DOROTHY,PEREZ,2,5,6
112,RUTH,GILBERT,4,3,5
113,MARY,KNIGHT,3,6,5
114,BRANDON,ROSS,2,5,6
115,PEGGY,WARD,2,5,
116,JONATHAN,VASQUEZ,3,6,
117,ROBERT,WILSON,2,5,
118,DIANA,GOMEZ,4,3,
119,MAURICE,JIMENEZ,2,5,6
120,KEVIN,SHERMAN,2,,
121,EDWARD,JAMES,3,,
122,RANDY,ODOM,3,,
123,JUAN,BROWN,2,5,6
124,WILLIAM,MAYS,3,10,7
125,DIANA,BROWN,,,
126,HEATHER,HUGHES,4,3,10
127,AMANDA,WILLIAMS,1,4,10
128,LISA,DALE,3,10,6
129,JENNIFER,GRAVES,3,10,5
130,FERNANDO,TURNER,3,6,
131,JERRY,GILL,2,5,3
132,PATRICIA,GREEN,3,6,10
133,IAN,ERICKSON,4,3,5
134,MARY,COLLINS,3,10,7
135,GEORGE,MILLER,2,5,4
