user_ID,first_name,last_name,username,dept_ID,role_ID
1,BARBARA,YOUNG,BYOUNG1,26,5
2,EDWIN,RAYMOND,ERAYMO1,29,5
3,DARRELL,MARTIN,DMARTI1,20,5
4,VIVIAN,BROWN,VBROWN1,30,5
5,JAMES,ROBERTS,JROBER1,30,5
6,ALLEN,BARNES,ABARNE1,26,5
7,DEAN,FLOYD,DFLOYD1,30,5
8,CHARLES,FOSTER,CFOSTE1,30,5
9,AMY,VASQUEZ,AVASQU1,29,5
10,DONALD,TAYLOR,DTAYLO1,11,5
11,YVONNE,TAYLOR,YTAYLO1,29,5
12,RAYMOND,KIRKLAND,RKIRKL1,29,5
13,WILLIAM,GLASS,WGLASS1,19,5
14,DEANNA,BRYANT,DBRYAN1,17,5
15,GERTRUDE,BROWNING,GBROWN1,27,5
16,JANICE,WILLIAMS,JWILLI1,2,5
17,RICK,JUAREZ,RJUARE1,30,5
18,MARY,JAMES,MJAMES1,16,5
19,KENNETH,DAVIS,KDAVIS1,30,5
20,APRIL,EVANS,AEVANS1,22,5
21,JAMES,GORDON,JGORDO1,29,5
22,ELIZABETH,ELLIS,EELLIS1,30,5
23,RONALD,WILLIAMSON,RWILLI1,28,5
24,NORMA,BLANKENSHIP,NBLANK1,30,5
25,DAVID,BURKS,DBURKS1,25,5
26,HARRY,JONES,HJONES1,28,5
27,ELIZABETH,WHITE,EWHITE1,12,5
28,ANNA,COX,ACOX1,30,5
29,FELICIA,JONES,FJONES1,29,5
30,JASON,CARPENTER,JCARPE1,24,5
31,RAY,ZIMMERMAN,RZIMME1,25,5
32,ANTHONY,TAYLOR,ATAYLO1,10,5
33,CASEY,CLARK,CCLARK1,2,5
34,CLARA,BRADSHAW,CBRADS1,29,5
35,ROBERTO,KEMP,RKEMP1,30,5
36,FRED,ROBERSON,FROBER1,29,5
37,JEFFREY,CLARK,JCLARK1,28,5
38,IRENE,WALKER,IWALKE1,28,5
39,NINA,ANDERSON,NANDER1,29,5
40,TONY,WALKER,TWALKE1,27,5
41,JOAN,OWENS,JOWENS1,30,5
42,WILMA,ROBERTSON,WROBER1,16,5
43,CHARLES,BROOKS,CBROOK1,30,5
44,BILLY,MCKINNEY,BMCKIN1,11,5
45,RALPH,TURNER,RTURNE1,30,5
46,BESSIE,HERRERA,BHERRE1,30,5
47,MARY,HAMILTON,MHAMIL1,30,5
48,ANNA,CLARK,ACLARK1,29,5
49,JIM,GOMEZ,JGOMEZ1,13,5
50,TIM,GONZALEZ,TGONZA1,30,5
51,MARIA,TAYLOR,MTAYLO1,26,5
52,RALPH,DAVIS,RDAVIS1,21,5
53,STEVEN,GARDNER,SGARDN1,29,5
54,TRAVIS,TORRES,TTORRE1,28,5
55,SHEILA,TAYLOR,STAYLO1,30,5
56,JEFFREY,HALEY,JHALEY1,30,5
57,FLORENCE,PATTERSON,FPATTE1,29,5
58,RICHARD,REEVES,RREEVE1,15,5
59,ASHLEY,LE,ALE1,30,5
60,JASON,HAMPTON,JHAMPT1,26,5
61,AMY,SCOTT,ASCOTT1,21,5
62,EDGAR,STUART,ESTUAR1,26,5
63,LILLIAN,HENSLEY,LHENSL1,27,5
64,RICKY,GARDNER,RGARDN1,30,5
65,JOHN,SMITH,JSMITH1,16,5
66,MARY,ALEXANDER,MALEXA1,30,5
67,JOE,RODRIGUEZ,JRODRI1,30,5
68,JENNIFER,FREEMAN,JFREEM1,30,5
69,ANNA,MENDEZ,AMENDE1,29,5
70,MARY,GRAVES,MGRAVE1,30,5
71,TERRY,JIMENEZ,TJIMEN1,28,5
72,FREDERICK,WONG,FWONG1,7,5
73,MELISSA,ROBINSON,MROBIN1,29,5
74,MARY,WILSON,MWILSO1,30,5
75,WILLIAM,SWEET,WSWEET1,15,5
76,JOHN,LAWRENCE,JLAWRE1,21,5
77,DOROTHY,VELAZQUEZ,DVELAZ1,16,5
78,JOSEPH,SMITH,JSMITH2,30,5
79,EILEEN,MCMAHON,EMCMAH1,22,5
