user_ID,first_name,last_name,username,dept_ID,role_ID
1,AUDREY,BERGER,ABERGE1,30,5
2,ROBERT,ORTIZ,RORTIZ1,30,5
3,CLARENCE,MILLS,CMILLS1,30,5
4,CYNTHIA,BARKER,CBARKE1,30,5
5,GERTRUDE,KING,GKING1,30,5
6,ROBERT,CALDWELL,RCALDW1,30,5
7,WILLIAM,JOHNSON,WJOHNS1,30,5
8,CATHY,SMITH,CSMITH1,30,5
9,KENNETH,DUNCAN,KDUNCA1,30,5
10,KATHERINE,ARMSTRONG,KARMST1,30,5
11,ANDREW,BAILEY,ABAILE1,30,1
12,DENISE,WILSON,DWILSO1,30,1
13,LAURA,GREEN,LGREEN1,30,1
14,PAMELA,BOOTH,PBOOTH1,30,1
15,JUDITH,HEBERT,JHEBER1,30,1
